voter_id,dim1,dim2,dim3,jméno,kandidátka,klub,mp_id,name,party,datum
268,7.403663649866765,0.3969617057299864,-4.290654393886682,,,,268.0,Jaroslav Zeman,ODS,2.0
270,-2.1474209919781915,-2.295568099419289,0.3848581620384172,,,,270.0,Leopold Sulovský,Ostravak,2.0
272,-0.5707959488763218,1.6261253412396748,0.718872656802368,,,,272.0,Patrik Kunčar,KDU-ČSL,2.0
274,5.036037067919653,7.592032951721816,-4.301243908144002,,,,274.0,Zdeňka Hamousová,ANO 2011,2.0
275,7.490268689169859,-1.415121785623016,-3.6482060081151557,,,,275.0,Lumír Aschenbrenner,ODSTOPKDUADSMon,2.0
276,0.2917884247966483,8.30097555162067,0.468949002496864,,,,276.0,Karel Kratochvíle,ČSSD,2.0
277,7.650501843774335,-1.350936225676765,-5.807124482064128,,,,277.0,Jiří Burian,ODS,2.0
278,-3.815384054856548,-2.365736912397954,-0.7162649853327073,,,,278.0,Václav Láska,SEN 21,2.0
280,-7.15719462974276,-3.758241527057996,6.2627031418013015,,,,280.0,Václav Hampl,KDUČSLSZ,2.0
281,-2.0590184582010047,-2.3061552876215416,-2.426654116620686,,,,281.0,Zbyněk Linhart,STAN+SLK,2.0
282,-2.1173029902464817,-0.7093737519365604,-1.2706187731018883,,,,282.0,Jiří Vosecký,STAN+SLK,2.0
284,0.11339870895317183,3.0422824669726016,-1.3898312087836517,,,,284.0,Emilie Třísková,ČSSD,2.0
285,-1.1930026213372433,7.1298221020092445,1.5593967389790055,,,,285.0,Jaroslav Malý,ČSSD,2.0
286,-5.313305090732598,0.2138052719175536,6.150361361943109,,,,286.0,František Bradáč,KDU-ČSL,2.0
287,-1.9357148216531788,6.465100410015587,2.077790419994297,,,,287.0,Pavel Štohl,ČSSD,2.0
288,-2.961056985326969,-3.0939673703472477,2.170965615725256,,,,288.0,Zdeněk Papoušek,KDU-ČSL,2.0
289,-5.901108095068203,0.32381289324093043,6.612640597048514,,,,289.0,Alena Šromová,KDU-ČSL,2.0
290,-6.469630274894487,-0.7044374236351945,6.109341942462703,,,,290.0,Jiří Carbol,KDU-ČSL,2.0
291,3.561853090419626,6.656019197548602,-2.298221943724292,,,,291.0,Peter Koliba,ANO 2011,2.0
293,8.70204265297473,-1.4343306861136826,-8.106290277919637,,,,293.0,Ivo Valenta,SsČR,2.0
294,-5.262468158530043,-3.3339016622438113,0.5257387902593593,,,,294.0,Václav Chaloupek,OPAT,2.0
295,4.16867964566655,6.946270395904642,-3.331762511608204,,,,295.0,Jaroslav Větrovský,ANO 2011,2.0
296,-5.820401331907268,-2.5022498633177923,2.406694141995809,,,,296.0,Ladislav Kos,KDUSZ+HPP11+Pir,2.0
297,-6.365925736644277,-2.9908826139635782,6.142800658450761,,,,297.0,Renata Chmelová,KDU+Pir+DPD+LES,2.0
298,-4.658762704167136,-1.9549764752631922,0.48066720207783664,,,,298.0,Jiří Růžička,KDU+ODS+STA+TOP,2.0
